"Country","Manufacturer","Commercial_Name","Category","CO2_Emissions","Mass","Fuel_Type","Fuel_Mode","Engine_Capacity","Innovative_Technology","CO2_Reduction","Year"
"IT","AUTOMOBILES CITROEN","C3 PICASSO","M1",137,1280,"petrol","M",1598,"",NA,2014
"HU","RENAULT","TRAFIC","M1",190,2119,"diesel","M",1995,NA,NA,2012
"BE","BAYERISCHE MOTOREN WERKE AG","118d","M1",140,1420,"diesel","M",1995,NA,NA,2010
"IT","RENAULT","TWINGO","M1",119,1019,"petrol","M",1149,NA,NA,2012
"DE","AUDI AG","A4AVANT","M1",129,1650,"diesel","M",1968,NA,NA,2012
"GB","RENAULT","CAPTUR","M1",99,1245,"diesel","M",1461,"",NA,2014
"BE","VOLKSWAGEN","KOMBI","M1",179,1976,"diesel","M",1968,"",NA,2014
"BE","TESLA","MODEL S","M1",0,2175,"electric","M",NA,"",NA,2013
"AT","VOLVO","V40","M1",96,1366,"diesel","M",1560,"",NA,2014
"DE","ASTON MARTIN","V12VANTAGEROADSTER","M1",388,1835,"petrol","M",5935,"",NA,2013
"GB","VOLKSWAGEN","MOVE UP BLUEMOTION TECHNOLOGY","M1",95,940,"petrol","M",999,"",NA,2014
"GB","AUTOMOBILES CITROEN","C3 PICASSO EXCLUSIVE S-A","M1",135,1413,"petrol","M",1598,NA,NA,2012
"DE","BMW AG","228I","M1",154,1495,"petrol","M",1997,"",NA,2014
"ES","VOLKSWAGEN","PASSAT","M1",116,1543,"diesel","M",1598,"",NA,2014
"EE","HYUNDAI","I 30","M1",135,1298,"petrol","M",1396,NA,NA,2010
"SI","DACIA","LOGAN","M1",103,1165,"diesel","M",1461,"",NA,2013
"IT","OPEL","ZAFIRA TOURER","M1",154,1931,"diesel","M",1956,"",NA,2013
"FI","FIAT GROUP AUTOMOBILES SPA","ALFA MITO","M1",139,1220,"petrol","M",1368,NA,NA,2010
"GB","FIAT GROUP","500 POP","M1",113,940,"petrol","M",1242,"",NA,2014
"GB","OPEL","MERIVA SE TURBO","M1",149,1393,"petrol","M",1364,"",NA,2014
"HU","SKODA","SUPERB","M1",149,1656,"diesel","M",1968,"",NA,2013
"HU","AUTOMOBILES CITROEN","C4","M1",100,1280,"diesel","M",1560,"",NA,2013
"GR","RENAULT","TWINGO","M1",130,1023,"petrol","M",1149,NA,NA,2011
"ES","VOLKSWAGEN","UP","M1",108,929,"petrol","M",999,"",NA,2014
"IT","NISSAN","NISSAN JUKE","M1",147,1265,"petrol","M",1598,"",NA,2013
"PL","OPEL","CORSA","M1",119,1199,"petrol","M",1229,NA,NA,2012
"GR","RENAULT","CLIO","M1",95,1146,"diesel","M",1461,"",NA,2013
"BE","MITSUBISHI MOTORS CORPORATION","Mitsubishi ASX","M1",145,1550,"diesel","M",1798,NA,NA,2011
"DE","BMW AG","225I","M1",142,1475,"petrol","M",2495,"",NA,2014
"SI","DACIA","SANDERO","M1",121,1189,"diesel","M",1461,"",NA,2013
"NL","SAAB AUTOMOBILE AB","SAAB 9-5","M1",214,1620,"petrol","",1985,NA,NA,2010
"NL","BMW AG","X REIHE","M1",236,2145,"petrol","M",2979,NA,NA,2012
"AT","AUDI AG","AUDI A6 ALLROAD QUATTRO","M1",189,1940,"diesel","M",2967,NA,NA,2010
"HU","AUDI AG","A3","M1",120,1250,"petrol","M",1395,"",NA,2013
"ES","MITSUBISHI MOTORS CORPORATION","I MIEV","M1",0,1185,"electric","",NA,"",NA,2013
"AT","BMW AG","120D CABRIO E88 N47","M1",132,1580,"diesel","M",1995,NA,NA,2012
"PT","VOLKSWAGEN","PASSAT","M1",123,1558,"diesel","M",1968,"",NA,2014
"BE","DAIMLER AG","V-Klasse","M1",149,2075,"diesel","M",2143,"",NA,2014
"AT","RENAULT","KANGOO","M1",111,1395,"diesel","M",1461,"",NA,2014
"PL","SKODA","OCTAVIA","M1",141,1475,"diesel","M",1598,"",NA,2013
"MT","FIAT GROUP","DOBLO","M1",138,1505,"diesel","M",1598,"",NA,2014
"GB","NISSAN","QASHQAI ACENTA DCI CVT","M1",115,1517,"diesel","M",1598,"",NA,2014
"DE","HONDA CHINA","JAZZ","M1",120,1055,"petrol","M",1339,NA,NA,2011
"NL","DAIMLER AG","CLA 180 CDI","M1",109,1475,"diesel","",1461,"",NA,2014
"FR","FIAT GROUP","FIAT PANDA","M1",120,1015,"petrol","M",1242,"",NA,2013
"BE","FIAT GROUP AUTOMOBILES SPA","FIAT 500","M1",97,1055,"diesel","M",1248,NA,NA,2012
"IT","AUDI AG","A3 LIMOUSINE","M1",99,1350,"diesel","M",1598,"",NA,2014
"CZ","BMW AG","X6 XDRIVE 50I","M1",292,2265,"petrol","M",4395,NA,NA,2011
"FR","FIAT GROUP AUTOMOBILES SPA","FIAT PUNTO","M1",110,1220,"diesel","M",1248,NA,NA,2012
"GB","OPEL","ASTRA SRI TURBO","M1",159,1550,"petrol","M",1598,NA,NA,2010
"CY","MITSUBISHI MOTORS EUROPE BV MME","COLD","M1",127,1071,"petrol","M",NA,NA,NA,2010
"LV","DAIMLER AG","GL 450","M1",307,2585,"diesel","M",3996,NA,NA,2011
"BE","FIAT GROUP AUTOMOBILES SPA","FIAT 500","M1",95,1045,"petrol","M",875,NA,NA,2012
"DE","VOLKSWAGEN","EOS","M1",125,1592,"diesel","M",1968,"",NA,2014
"SI","AUTOMOBILES PEUGEOT","BOXER / KOMBI 33 3.0 / HDI L2H2","M1",200,2185,"diesel","M",2999,NA,NA,2011
"GB","SKODA","OCTAVIA VRS TDI CR","M1",149,1470,"diesel","M",1968,NA,NA,2012
"SK","DACIA","SANDERO","M1",99,1193,"diesel","M",1461,"",NA,2014
"NL","VOLKSWAGEN","JETTA","M1",138,1365,"petrol","M",1390,NA,NA,2012
"LV","OPEL","VIVARO","M1",180,2139,"diesel","M",1995,"",NA,2013
"GB","OPEL","INSIGNIA ES CDTI","M1",124,1664,"diesel","M",1956,"",NA,2013
"ES","GENERAL MOTORS COMPANY","H2","M1",NA,NA,"petrol","",5976,NA,NA,2010
"IT","AA-IVA","FIAT DOBLÊ","M1",150,1575,"diesel","M",1598,NA,NA,2012
"BE","OPEL","ZAFIRA TOURER","M1",109,1701,"diesel","M",1598,"",NA,2014
"SK","DAIMLER AG","SL 63 AMG","M1",330,1970,"petrol","M",6208,NA,NA,2010
"GB","AUTOMOBILES CITROEN","DS3 DSIGN","M1",134,1150,"petrol","M",1397,NA,NA,2011
"ES","FIAT GROUP","PANDA ","M1",120,1026,"petrol","M",1242,"",NA,2014
"DK","VOLKSWAGEN","CALIFORNIA","M1",198,2363,"diesel","M",1968,NA,NA,2010
"PL","OPEL","CORSA","M1",125,1163,"petrol","M",1229,NA,NA,2012
"GB","OPEL","ASTRA SRI TURBO","M1",159,1503,"petrol","M",1598,NA,NA,2012
"HU","VOLVO","V40","M1",125,1368,"petrol","M",1596,"",NA,2013
"GB","FORD-WERKE GMBH","FIESTA ZETEC S 120","M1",139,1045,"petrol","M",1596,NA,NA,2010
"GB","BMW AG","COOPER D","M1",99,1165,"diesel","M",1598,"",NA,2013
"PL","AUTOMOBILES CITROEN","C4 PICASSO","M1",137,1615,"diesel","M",1560,NA,NA,2010
"FR","VOLKSWAGEN","MULTIVAN STARLINE","M1",179,2032,"diesel","M",1968,"",NA,2014
"DE","BMW AG","COOPERDALL4","M1",129,1455,"diesel","M",1598,NA,NA,2012
"SE","VOLKSWAGEN","GOLF","M1",126,1351,"diesel","M",1968,NA,NA,2012
"DE","OPEL","CORSA","M1",126,1259,"petrol","M",1398,NA,NA,2012
"GB","HYUNDAI CZECH","I30 CLASSIC CRDI","M1",117,1401,"diesel","M",1582,"",NA,2013
"HR","VOLVO","V40","M1",124,1368,"petrol","M",1596,"",NA,2014
"PL","MAGYAR SUZUKI","SX4","M1",139,1425,"diesel","M",1956,NA,NA,2011
"HU","MAGYAR SUZUKI","SX4, SUZUKI SX4","M1",127,1160,"petrol","M",1586,"",NA,2013
"BE","BMW AG","116D","M1",117,1380,"diesel","M",1995,"",NA,2013
"DK","SKODA","OCTAVIA","M1",119,1225,"petrol","M",1197,"",NA,2013
"GB","DAIMLER AG","C220 EXECUTIVE SE CDI BLUECY A","M1",116,1610,"diesel","M",2143,"",NA,2013
"DK","DAIMLER AG","E 300 BLUETEC HYBRID","M1",112,1845,"diesel","M",2143,NA,NA,2012
"DE","FORD-WERKE GMBH","C-MAX","M1",169,1375,"petrol","M",1798,NA,NA,2010
"GB","OPEL","CORSA SE","M1",124,1199,"petrol","M",1229,NA,NA,2010
"NL","RENAULT","MEGANE","M1",162,1280,"petrol","M",1598,NA,NA,2010
"GB","RENAULT","MEGANE","M1",90,1280,"diesel","M",1461,NA,NA,2012
"DK","VOLKSWAGEN","POLO","M1",109,1139,"petrol","M",1197,"",NA,2014
"SE","DAIMLER AG","CLA 220 CDI","M1",117,1525,"diesel","M",2143,"",NA,2013
"AT","VOLKSWAGEN","TOURAN","M1",140,1606,"diesel","M",1968,NA,NA,2012
"GB","OPEL","CASCADA ELITE S/S","M1",148,1788,"petrol","M",1364,"",NA,2013
"PL","DAIMLER AG","GLK 220","M1",161,1880,"diesel","M",2143,"",NA,2014
"IT","DAIMLER AG","C 200 CDI","M1",133,1615,"diesel","M",2143,NA,NA,2011
"SI","MAGYAR SUZUKI","SX4 / 2.0 / 4WD TD","M1",141,1425,"diesel","M",1956,NA,NA,2011
"BE","FIAT GROUP","ALFA GIULIETTA","M1",148,1355,"petrol","M",1368,"",NA,2014
"PL","DAIMLER AG","CLA 200","M1",114,1500,"diesel","M",2143,"",NA,2014
"BE","RENAULT","MEGANE","M1",129,1359,"petrol","M",1197,"",NA,2014
"IT","DAIMLER AG","G 350 BLUETEC","M1",295,2570,"diesel","M",2987,NA,NA,2012
"LU","AUDI AG","A5","M1",120,1545,"diesel","M",1968,NA,NA,2012
"DK","VOLKSWAGEN","PASSAT","M1",149,1575,"diesel","M",1968,NA,NA,2010
"CY","TOYOTA","TOYOTA PRIUS","M1",92,1480,"petrol","M",NA,"",NA,2013
"DE","UNKNOWN","PASSAT","M1",190,1693,"diesel","M",1968,"",NA,2013
"PL","AUTOMOBILES CITROEN","C5","M1",139,1769,"diesel","M",1997,NA,NA,2011
"GR","SKODA","OCTAVIA","M1",145,1415,"diesel","M",NA,NA,NA,2010
"IT","AUTOMOBILES PEUGEOT","BOXER","M1",226,2375,"diesel","M",2198,"",NA,2013
"DE","DAIMLER AG","C250","M1",150,1505,"petrol","M",1796,NA,NA,2011
"HU","KIA","Rio","M1",114,1104,"petrol","M",1248,"",NA,2013
"BE","FIAT GROUP AUTOMOBILES SPA","FIAT PUNTO","M1",132,1100,"petrol","M",1368,NA,NA,2012
"LU","RENAULT","MEGANE","M1",110,1439,"diesel","M",1461,NA,NA,2012
"AT","AUTOMOBILES PEUGEOT","EXPERT 4X4","M1",199,2200,"diesel","M",1997,"",NA,2014
"EE","FUJI HEAVY INDUSTRIES","FORESTER","M1",174,1600,"petrol","M",1995,NA,NA,2011
"PT","FORD WERKE GMBH","Fiesta","M1",154,1101,"petrol","M",1388,NA,NA,2011
"GR","AUTOMOBILES PEUGEOT","308","M1",177,1561,"petrol","M",NA,NA,NA,2010
"ES","VOLKSWAGEN","SHARAN","M1",146,1824,"diesel","M",1968,NA,NA,2011
"LU","DACIA","DUSTER","M1",137,1423,"diesel","M",1461,"",NA,2013
"IT","OPEL","ASTRA SPORTS TOURER","M1",174,1550,"petrol","M",1598,NA,NA,2011
"BE","DAIMLER AG","E 220 CDI","M1",129,1735,"diesel","M",2143,"",NA,2013
"DE","HYUNDAI CZECH","IX20","M1",148,1255,"petrol","M",1591,"",NA,2013
"SK","DACIA","LOGAN","M1",99,1263,"diesel","M",1461,"",NA,2014
"HU","SKODA","OCTAVIA","M1",121,1255,"petrol","M",1395,"",NA,2013
"PL","VOLKSWAGEN","GOLF","M1",123,1247,"diesel","M",1395,"",NA,2014
"GR","BMW AG","COOPER S","M1",128,1315,"petrol","M",1998,"",NA,2014
"GR","GM Korea Company","SPARK ή Μ300 ή ΜΑΤΙΖ ή ZITTO ή D"" ARTS","M1",119,1044,"petrol","M",NA,NA,NA,2012
"DE","BMW AG","7ER","",199,2035,"petrol","M",4295,NA,NA,2012
"DE","AUDI AG","A5SPORTBACK","M1",122,1590,"diesel","M",1968,NA,NA,2012
"HU","AUTOMOBILES CITROEN","BERLINGO","M1",164,1480,"petrol","M",1598,NA,NA,2010
"BE","BMW AG","X3 xDrive30d","M1",159,1875,"diesel","M",2993,NA,NA,2012
"GB","FIAT GROUP AUTOMOBILES SPA","DOBLO DYNAMIC","M1",168,1305,"petrol","M",1368,NA,NA,2010
"BE","DAIMLER AG","C 200 CDI","M1",140,1645,"diesel","M",2143,NA,NA,2011
"ES","BMW M GMBH","320D XDRIVE AUTOMATICO","M1",156,1615,"diesel","",1995,NA,NA,2010
"SK","HYUNDAI","i40","M1",169,1495,"petrol","M",1999,NA,NA,2012
"CZ","VOLKSWAGEN","TOURAN","M1",140,1606,"diesel","M",1968,"",NA,2014
"DE","VOLKSWAGEN","PASSAT","M1",157,1598,"ng-biomethane","B",1390,NA,NA,2011
"DE","BMW AG","M4","M1",202,1880,"petrol","M",2979,"",NA,2013
"ES","FIAT GROUP AUTOMOBILES SPA","FIAT PANDA 4X4","M1",155,1055,"petrol","",1242,NA,NA,2010
"BE","HYUNDAI ASSAN","I20","M1",99,1180,"diesel","M",1120,"",NA,2013
"DE","BMW AG","X1 XDRIVE18D","M1",150,1615,"diesel","M",1995,"",NA,2013
"BG","HYUNDAI CZECH","I 30","M1",145,1487,"diesel","M",NA,"",NA,2013
"AT","OPEL","ZAFIRA TOURER","M1",124,1816,"diesel","M",1956,"",NA,2014
"PT","PORSCHE","Panamera Turbo S","M1",270,2070,"petrol","M",4806,NA,NA,2011
"PT","OPEL","ASTRA SPORTS TOURER","M1",109,1503,"diesel","M",1248,NA,NA,2012
"BE","OPEL","Insignia Sports Tourer SW","M1",136,1816,"diesel","M",1956,NA,NA,2012
"LU","VOLKSWAGEN","MULTIVAN","M1",198,2067,"diesel","M",1968,NA,NA,2011
"GB","DAIMLER AG","C180 ELEGANCE BLUEEFFICIENCY A","M1",160,1555,"petrol","M",1796,NA,NA,2012
"RO","MITSUBISHI MOTORS CORPORATION","PAJERO","M1",243,2340,"diesel","M",3200,NA,NA,2011
"DE","NISSAN","NISSAN NV200","M1",138,1453,"diesel","M",1461,"",NA,2013
"BE","VOLKSWAGEN","MULTIVAN STARTLINE","M1",198,2067,"diesel","M",1968,"",NA,2014
"CZ","HYUNDAI","GRANDEUR","M1",208,1792,"diesel","M",2188,NA,NA,2011
"RO","VOLKSWAGEN","TOURAN","M1",143,1653,"diesel","M",1598,NA,NA,2012
"FI","TOYOTA","AURIS","M1",153,1350,"petrol","M",1598,NA,NA,2011
"NL","DAIMLER AG","GLK 350 CDI 4MATIC","M1",218,1880,"diesel","",2987,NA,NA,2011
"DE","OPEL","CORSA","M1",125,1120,"petrol","M",1229,"",NA,2014
"EE","RENAULT","MEGANE","M1",119,1376,"diesel","M",1461,NA,NA,2010
"DE","VOLKSWAGEN","PASSAT","M1",119,1548,"diesel","M",1968,"",NA,2014
"MT","VOLKSWAGEN","POLO","M1",119,1102,"petrol","M",NA,NA,NA,2012
"HU","FORD-WERKE GMBH","FUSION","M1",157,1159,"petrol","M",1596,NA,NA,2010
"LT","HYUNDAI","i 30","M1",109,1429,"diesel","M",NA,NA,NA,2012
"PL","DAIMLER AG","A 200","M1",126,1395,"petrol","M",1595,"",NA,2014
"SK","VOLKSWAGEN","GOLF","M1",195,1541,"petrol","M",1984,NA,NA,2011
"GR","VOLKSWAGEN","TIGUAN","M1",152,1512,"petrol","M",NA,NA,NA,2011
"DE","AUTOMOBILES PEUGEOT","308","M1",104,1385,"diesel","M",1997,"",NA,2014
"GB","AUDI AG","A1 S LINE TDI","M1",99,1240,"diesel","M",1598,"",NA,2013
"FR","RENAULT","LAGUNA","M1",150,1575,"diesel","M",1995,NA,NA,2012
"SK","OPEL","INSIGNIA LIMOUSINE HB","M1",133,1701,"diesel","M",1956,NA,NA,2011
"BE","OPEL","Corsa","M1",125,1199,"petrol","M",1229,NA,NA,2012
"GB","FIAT GROUP AUTOMOBILES SPA","GRANDE PUNTO 155 BHP","M1",159,1260,"petrol","M",1368,NA,NA,2010
"PL","RENAULT","TWINGO","M1",109,1001,"petrol","M",1149,NA,NA,2011
"FI","DAIMLER AG","C 350","M1",159,1610,"petrol","M",3498,NA,NA,2012
"LU","HYUNDAI","I20","M1",117,1220,"diesel","M",1582,NA,NA,2010
"GB","BMW AG","COOPER D CABRIO","M1",105,1275,"diesel","M",1598,"",NA,2013
"GB","VOLVO","S80 SE D3 AUTO","M1",148,1716,"diesel","M",1984,NA,NA,2011
"HU","HYUNDAI ASSAN","i20","M1",114,1045,"petrol","M",1248,"",NA,2013
"HU","FORD WERKE GMBH","Fiesta","M1",138,1098,"petrol","M",1596,"",NA,2013
"DE","MAZDA","MAZDA2","M1",119,1064,"petrol","M",1349,NA,NA,2012
"MT","AUTOMOBILES PEUGEOT","207","M1",145,1245,"petrol","M",NA,NA,NA,2012
"GB","SAAB AUTOMOBILE AB","9-3 AERO TTID","M1",154,1750,"diesel","M",1910,NA,NA,2010
"GB","AUDI AG","unknown","M1",131,1540,"diesel","M",1968,NA,NA,2010
"FI","NISSAN","QASHQAI+2","M1",139,1775,"diesel","M",1598,"",NA,2013
"DE","FIAT GROUP AUTOMOBILES SPA","ALFA GIULIETTA","M1",114,1385,"diesel","M",1598,NA,NA,2011
"ES","OPEL","ZAFIRA","M1",164,1788,"","",1362,"",NA,2013
"DE","OPEL","ASTRA","M1",160,1503,"petrol","M",1598,NA,NA,2011
"HU","MAZDA","Mazda3","M1",119,1351,"petrol","M",1496,"",NA,2013
"MT","KIA","PICANTO MORNING","M1",99,920,"petrol","M",998,"",NA,2014
"IT","AUDI AG","A5 COUPE","M1",134,1500,"petrol","M",1798,"",NA,2014
"DE","BAYERISCHE MOTOREN WERKE AG","X Reihe","M1",153,1650,"diesel","M",1995,NA,NA,2010
"PL","AUDI AG","A1 SPORTBACK","M1",118,1140,"petrol","M",1197,NA,NA,2012
"FR","CHRYSLER","WRANGLER UNLIMITED","M1G",217,2073,"diesel","M",2776,NA,NA,2012
"SE","BMW AG","520D","M1",119,1695,"diesel","M",1995,NA,NA,2012
"GB","TOYOTA","IS 250 ADVANCE AUTO","M1",194,1660,"petrol","M",2499,NA,NA,2012
"AT","RENAULT","CLIO","M1",120,1165,"petrol","M",1197,"",NA,2014
"IE","SKODA","SKODA","M1",154,1340,"petrol","M",NA,NA,NA,2010
"LU","BMW AG","520","M1",130,1785,"diesel","M",1995,NA,NA,2012
"FR","AUDI AG","A4 AVANT","M1",154,1800,"diesel","M",2967,NA,NA,2012
"DE","RENAULT","LAGUNA","M1",185,1503,"petrol","M",1998,NA,NA,2012
"FR","DAIMLER AG","CLASSE M","M1",189,2175,"diesel","M",2987,"",NA,2014
"HU","AUTOMOBILES CITROEN","C-Elysée","M1",151,1165,"petrol","M",1587,"",NA,2013
"CZ","TOYOTA","LAND CRUISER 150","M1G",213,2350,"diesel","M",2982,"",NA,2014
"PL","SAAB","9-3","M1",176,1675,"petrol","M",1998,NA,NA,2011
"DE","OPEL","ASTRA","M1",154,1471,"petrol","M",1598,"",NA,2013
"SE","BAYERISCHE MOTOREN WERKE AG","BMW X1 XDRIVE 23D","M1",167,1670,"diesel","M",1995,NA,NA,2010
"PL","AUTOMOBILES CITROEN","C1 MAP DESIRE 4D","M1",106,880,"petrol","M",998,NA,NA,2010
"BE","FORD WERKE GMBH","EcoSport","M1",120,1384,"diesel","M",1499,"",NA,2014
"GB","RENAULT","MEGANE","M1",149,1615,"diesel","M",1870,NA,NA,2011
"BE","FUJI HEAVY INDUSTRIES","FORESTER","M1",158,1680,"diesel","M",1998,"",NA,2013
"DE","SKODA","SUPERB","M1",149,1555,"diesel","M",1968,NA,NA,2010
"SE","AUDI AG","A5 SPORTBACK","M1",136,1565,"petrol","M",1798,NA,NA,2012
"IT","UNKNOWN","","M1",203,1585,"diesel","M",2387,NA,NA,2012
"BG","AUTOMOBILES PEUGEOT","BOXER","M1",224,2259,"diesel","M",2198,NA,NA,2011
"LU","AUTOMOBILES CITROEN","C4 PICASSO","M1",175,1753,"diesel","M",1997,"",NA,2013
"IT","FUJI HEAVY INDUSTRIES","IMPREZA","M1",176,1425,"petrol","M",1498,NA,NA,2011
"GB","AUDI AG","Q5 S LINE TFSI QUATTRO","M1",195,1785,"petrol","M",1984,NA,NA,2010
"BE","FIAT GROUP AUTOMOBILES SPA","QUBO","M1",152,1255,"petrol","M",1360,NA,NA,2011
"SE","RENAULT","MEGANE SCENIC","M1",120,1460,"diesel","M",1461,"",NA,2013
"DE","BMW AG","XREIHE","M1",185,1765,"petrol","M",1997,"",NA,2013
"BE","BAYERISCHE MOTOREN WERKE AG","120d","M1",128,1450,"diesel","M",1995,NA,NA,2010
"GB","BMW AG","118I URBAN TURBO AUTO","M1",134,1390,"petrol","M",1598,NA,NA,2012
"AT","AUTOMOBILES PEUGEOT","3008 ALL THP 160","M1",167,1592,"petrol","M",1598,NA,NA,2011
"PL","TOYOTA","AVENSIS","M1",165,1607,"petrol","M",1987,NA,NA,2012
"HU","OPEL","Insignia Sports Tourer SW","M1",129,1733,"diesel","M",1956,NA,NA,2011
"PL","AUDI AG","A4 2.0 TDI","M1",150,1615,"diesel","M",1968,NA,NA,2012
"FR","RENAULT","MEGANE SCENIC","M1",124,1597,"diesel","M",1461,NA,NA,2012
"SI","SKODA","RAPID / 1.2 / TSI","M1",119,1155,"petrol","M",1197,"",NA,2014
"GB","OPEL","CORSA SXI AC CDTI EFLEX93","M1",115,1265,"diesel","M",1248,"",NA,2014
"HU","AUDI AG","A3 Sportback","M1",127,1320,"petrol","M",1197,"",NA,2013
"PL","TOYOTA","AURIS","M1",139,1325,"petrol","M",1329,NA,NA,2011
"SI","AUTOMOBILES CITROEN","C3 / 1.6 / HDI 16V","M1",110,1155,"diesel","M",1560,NA,NA,2010
"PL","TOYOTA MOTOR EUROPE","LAND CRUISER (200 SERIES)","M1",242,2795,"diesel","M",4461,NA,NA,2010
"PL","FIAT GROUP","FIAT 500L","M1",105,1395,"diesel","M",1248,"",NA,2013
"SI","FIAT GROUP AUTOMOBILES SPA","159 / SW 2.4 / M-JET CA","M1",210,1730,"diesel","M",2387,NA,NA,2010
"DE","HYUNDAI","TUCSON","M1",184,1758,"diesel","M",1991,NA,NA,2010
"AT","RENAULT","TRAFIC","M1",175,2124,"diesel","M",1995,"",NA,2013
"FR","SKODA","FABIA","M1",109,1224,"diesel","M",1598,NA,NA,2012
"DE","VOLKSWAGEN","TOURAN","M1",139,1506,"petrol","M",1197,NA,NA,2010
"PL","RENAULT","MEGANE SCENIC","M1",115,1616,"diesel","M",1598,NA,NA,2011
"IT","BMW AG","320D","M1",118,1505,"diesel","M",1995,"",NA,2013
"NL","BMW AG","1ER REIHE","M1",116,1420,"diesel","M",1995,"",NA,2013
"GR","OPEL","ASTRA NOTCHBACK","M1",106,1503,"diesel","M",1248,"",NA,2014
"SI","KIA","SPORTAGE / 2.0 / TD","M1",149,1633,"diesel","M",1995,NA,NA,2012
"AT","TOYOTA","VERSO 1,8 VALVEMATIC","M1",158,1555,"petrol","M",1798,"",NA,2014
"DE","DAIMLER AG","S 600","M1",264,2185,"petrol","M",5980,"",NA,2013
"SE","TOYOTA","TOYOTA PRIUS","M1",89,1479,"petrol","M",1798,NA,NA,2011
"LU","AUDI AG","A5","M1",149,1715,"diesel","M",2967,NA,NA,2012
"NL","VOLKSWAGEN","TIGUAN","M1",199,1659,"petrol","",1984,NA,NA,2011
"CY","OPEL","M1","M1",181,1585,"petrol","M",NA,NA,NA,2010
"AT","AUDI AG","A1","M1",99,1215,"diesel","M",1598," ",NA,2013
"DE","CHRYSLER","WRANGLER","M1G",227,1933,"diesel","M",2776,"",NA,2013
